,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE
XLK,1.0,0.6514088440845611,0.5025495424724116,0.787838536811893,0.1998296234027346,0.3047947052784915,0.4296325015907569,0.828454494695879,0.7058439649215644,0.408612240587538
XLF,0.6514088440845611,1.0,0.645036606228941,0.8674882756008957,0.4815053339708752,0.4912654051194694,0.6042754396468263,0.7432237615954018,0.7736565888371163,0.603965062291692
XLE,0.5025495424724116,0.645036606228941,1.0,0.6714877011929687,0.2615551351396292,0.420828867266615,0.4075742379496576,0.5096720896483956,0.6435140053725331,0.43304976707983944
XLI,0.787838536811893,0.8674882756008957,0.6714877011929687,1.0,0.43666969676372547,0.4890852796461245,0.6176354939595372,0.8094172087323274,0.8761626110545242,0.6310889118083748
XLP,0.1998296234027346,0.4815053339708752,0.2615551351396292,0.43666969676372547,1.0,0.5647047128947078,0.6357639112928826,0.36000694806454187,0.5336881074472745,0.6788014208624431
XLU,0.3047947052784915,0.4912654051194694,0.420828867266615,0.4890852796461245,0.5647047128947078,1.0,0.46803579243167315,0.3254858908795936,0.47307963415543736,0.6454317900565713
XLV,0.4296325015907569,0.6042754396468263,0.4075742379496576,0.6176354939595372,0.6357639112928826,0.46803579243167315,1.0,0.4853270338500436,0.6713241758691719,0.6602386270641878
XLY,0.828454494695879,0.7432237615954018,0.5096720896483956,0.8094172087323274,0.36000694806454187,0.3254858908795936,0.4853270338500436,1.0,0.7424729092912685,0.5229628512412022
XLB,0.7058439649215644,0.7736565888371163,0.6435140053725331,0.8761626110545242,0.5336881074472745,0.47307963415543736,0.6713241758691719,0.7424729092912685,1.0,0.6849209139252092
XLRE,0.408612240587538,0.603965062291692,0.43304976707983944,0.6310889118083748,0.6788014208624431,0.6454317900565713,0.6602386270641878,0.5229628512412022,0.6849209139252092,1.0
